Religious tradition,"Less than $30,000","$30,000-$49,999","$50,000-$99,999","$100,000 or more",Sample Size
Buddhist,0.36,0.18,0.32,0.13,233.00
Catholic,0.36,0.19,0.26,0.19,6137.00
Evangelical Protestant,0.35,0.22,0.28,0.14,7462.00
Hindu,0.17,0.13,0.34,0.36,172.00
Historically Black Protestant,0.53,0.22,0.17,0.08,1704.00
Jehovah's Witness,0.48,0.25,0.22,0.04,208.00
Jewish,0.16,0.15,0.24,0.44,708.00
Mainline Protestant,0.29,0.20,0.28,0.23,5208.00
Mormon,0.27,0.20,0.33,0.20,594.00
Muslim,0.34,0.17,0.29,0.20,205.00
Orthodox Christian,0.18,0.17,0.36,0.29,155.00
"Unaffiliated (religious ""nones"")",0.33,0.20,0.26,0.21,6790.00