State/UTs,Total Cases,Active,Discharged,Deaths
Andaman and Nicobar,7620.00,9.00,7482.00,129.00
Andhra Pradesh,2049314.00,11655.00,2023496.00,14163.00
Arunachal Pradesh,54572.00,440.00,53856.00,276.00
Assam,601787.00,4487.00,591432.00,5868.00
Bihar,725952.00,55.00,716237.00,9660.00
Chandigarh,65224.00,42.00,64363.00,819.00
Chhattisgarh,1005325.00,285.00,991475.00,13565.00
Dadra and Nagar Haveli and Daman and Diu,10670.00,0.00,10666.00,4.00
Delhi,1438821.00,392.00,1413342.00,25087.00
Goa,176318.00,830.00,172176.00,3312.00
Gujarat,825916.00,156.00,815678.00,10082.00
Haryana,770863.00,278.00,760711.00,9874.00
Himachal Pradesh,218898.00,1793.00,213430.00,3675.00
Jammu and Kashmir,329320.00,1388.00,323510.00,4422.00
Jharkhand,348215.00,78.00,343002.00,5135.00
Karnataka,2975067.00,12594.00,2924693.00,37780.00
Kerala,4664944.00,144075.00,4495904.00,24965.00
Ladakh,20795.00,73.00,20515.00,207.00
Lakshadweep,10361.00,4.00,10306.00,51.00
Madhya Pradesh,792519.00,115.00,781882.00,10522.00
Maharashtra,6547793.00,40252.00,6368530.00,139011.00
Manipur,120426.00,2207.00,116365.00,1854.00
Meghalaya,81161.00,1693.00,78068.00,1400.00
Mizoram,93660.00,16841.00,76512.00,307.00
Nagaland,31219.00,365.00,30189.00,665.00
Odisha,1025874.00,5099.00,1012583.00,8192.00
Puducherry,126308.00,828.00,123640.00,1840.00
Punjab,601600.00,290.00,584797.00,16513.00
Rajasthan,954322.00,76.00,945292.00,8954.00
Sikkim,31412.00,600.00,30425.00,387.00
Tamil Nadu,2662177.00,17192.00,2609435.00,35550.00
Telengana,665749.00,4620.00,657213.00,3916.00
Tripura,84127.00,260.00,83054.00,813.00
Uttar Pradesh,1709800.00,159.00,1686749.00,22892.00
Uttarakhand,343530.00,209.00,335927.00,7394.00
West Bengal,1568321.00,7580.00,1541963.00,18778.00